"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.61","163563","134245","438","7702",NA,"Porphyromonas sp. oral clone BS045","species",NA
"ubiome_bacteriacounts.62","836","171551","438","7702",NA,"Porphyromonas","genus",NA
"ubiome_bacteriacounts.63","1107316","482","412","7244",NA,"Neisseria oralis","species",NA
"ubiome_bacteriacounts.64","85005","2037","405","7121",NA,"Actinomycineae","suborder",NA
"ubiome_bacteriacounts.65","2049","85005","405","7121",NA,"Actinomycetaceae","family",NA
"ubiome_bacteriacounts.66","186801","1239","364","6400",NA,"Clostridia","class",NA
"ubiome_bacteriacounts.67","186802","186801","364","6400",NA,"Clostridiales","order",NA
"ubiome_bacteriacounts.68","706435","1016","361","6348",NA,"Capnocytophaga sp. oral taxon 329","species",NA
"ubiome_bacteriacounts.69","1654","2049","359","6313",NA,"Actinomyces","genus",NA
"ubiome_bacteriacounts.70","2323","2","349","6137",NA,"unclassified Bacteria","no_rank",NA
"ubiome_bacteriacounts.71","163581","135058","265","4660",NA,"Leptotrichia sp. oral clone DR011","species",NA
"ubiome_bacteriacounts.72","49928","2323","255","4484",NA,"unclassified Bacteria (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.73","85007","2037","239","4202",NA,"Corynebacterineae","suborder",NA
"ubiome_bacteriacounts.74","1716","1653","239","4202",NA,"Corynebacterium","genus",NA
"ubiome_bacteriacounts.75","1653","85007","239","4202",NA,"Corynebacteriaceae","family",NA
"ubiome_bacteriacounts.76","85006","2037","226","3974",NA,"Micrococcineae","suborder",NA
"ubiome_bacteriacounts.77","1268","85006","226","3974",NA,"Micrococcaceae","family",NA
"ubiome_bacteriacounts.78","544580","1654","219","3851",NA,"Actinomyces oris","species",NA
"ubiome_bacteriacounts.79","175642","135058","212","3728",NA,"Leptotrichia sp. oral clone FP036","species",NA
"ubiome_bacteriacounts.80","194","72294","211","3710",NA,"Campylobacter","genus",NA
"ubiome_bacteriacounts.81","213849","29547","211","3710",NA,"Campylobacterales","order",NA
"ubiome_bacteriacounts.82","68525","1224","211","3710",NA,"delta/epsilon subdivisions","subphylum",NA
"ubiome_bacteriacounts.83","29547","68525","211","3710",NA,"Epsilonproteobacteria","class",NA
"ubiome_bacteriacounts.84","72294","213849","211","3710",NA,"Campylobacteraceae","family",NA
"ubiome_bacteriacounts.85","1146433","49928","207","3640",NA,"bacterium NLAE-zl-P562","species",NA
"ubiome_bacteriacounts.86","46123","186827","202","3552",NA,"Abiotrophia","genus",NA
"ubiome_bacteriacounts.87","224768","224767","202","3552",NA,"Abiotrophia sp. oral clone P4PA_155 P1","species",NA
"ubiome_bacteriacounts.88","186827","186826","202","3552",NA,"Aerococcaceae","family",NA
"ubiome_bacteriacounts.89","224767","46123","202","3552",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.90","32207","1268","187","3288",NA,"Rothia","genus",NA
"ubiome_bacteriacounts.91","80840","28216","175","3077",NA,"Burkholderiales","order",NA
"ubiome_bacteriacounts.92","80864","80840","173","3042",NA,"Comamonadaceae","family",NA
"ubiome_bacteriacounts.93","1305","1301","155","2725",NA,"Streptococcus sanguinis","species",NA
"ubiome_bacteriacounts.94","137732","117563","136","2391",NA,"Granulicatella elegans","species",NA
"ubiome_bacteriacounts.95","1257","186804","131","2303",NA,"Peptostreptococcus","genus",NA
"ubiome_bacteriacounts.96","186804","186802","131","2303",NA,"Peptostreptococcaceae","family",NA
